lv1,lv2,lt1,lt2,lnt,lr,ll,double
1,2,1,2,2,3,2,0
2,10,1,3,2,5,3,0
10,1,1,8,2,8,22,0
1,3,2,6,2,3,13,0
3,2,2,5,2,4,10,0
2,1,2,1,2,5,4,1
2,4,3,4,2,5,8,0
4,10,3,14,2,41,23,41
10,2,3,1,2,8,7,2
2,8,4,5,2,14,11,14
8,4,4,11,2,28,8,0
4,2,4,3,2,11,10,7
3,8,5,10,2,29,11,29
8,2,5,4,2,13,10,0
2,3,5,2,2,14,13,5
1,5,6,7,2,3,17,0
5,3,6,9,2,20,13,0
3,1,6,2,2,17,16,4
1,6,7,8,2,3,20,0
6,5,7,20,2,56,49,0
5,1,7,6,2,20,19,16
1,10,8,1,2,3,23,3
10,6,8,15,2,40,20,0
6,1,8,7,2,23,22,19
5,7,9,17,2,20,46,0
7,3,9,10,2,25,13,0
3,5,9,6,2,26,25,17
7,8,10,12,2,25,31,0
8,3,10,5,2,28,13,0
3,7,10,9,2,29,28,26
8,9,11,12,2,35,32,35
9,4,11,13,2,34,8,0
4,8,11,4,2,32,31,11
7,9,12,16,2,25,37,0
9,8,12,11,2,34,31,0
8,7,12,10,2,35,34,28
9,12,13,18,2,53,44,53
12,4,13,14,2,37,8,0
4,9,13,11,2,38,37,32
12,10,14,15,2,37,43,0
10,4,14,3,2,40,8,0
4,12,14,13,2,41,40,38
10,12,15,14,2,40,44,40
12,6,15,19,2,52,20,0
6,10,15,8,2,44,43,23
7,11,16,17,2,50,47,50
11,9,16,18,2,49,37,0
9,7,16,12,2,47,46,34
5,11,17,20,2,20,56,0
11,7,17,16,2,49,46,0
7,5,17,9,2,50,49,25
11,12,18,19,2,49,55,0
12,9,18,13,2,52,37,0
9,11,18,16,2,53,52,47
12,11,19,18,2,52,56,52
11,6,19,20,2,49,20,0
6,12,19,15,2,56,55,44
5,6,20,7,2,1000,1000,20
6,11,20,19,2,1000,1000,56
11,5,20,17,2,1000,1000,49